City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
398,mbandaka,CD,69.33,overcast clouds,0.0487,18.2603,
400,ketchikan,US,53.58,light rain,55.3422,-131.6461,
402,la seyne-sur-mer,FR,66.88,broken clouds,43.0982,5.8847,
403,kropotkin,RU,56.25,overcast clouds,45.4375,40.5756,
406,werota,ET,55.96,clear sky,11.9167,37.7,
410,palmer,US,57.38,clear sky,42.1584,-72.3287,
412,lata,PT,63.05,overcast clouds,40.1629,-8.3327,
413,porto belo,BR,69.78,clear sky,-27.1578,-48.5531,
414,ilabaya,PE,64.87,clear sky,-17.4208,-70.5133,
415,mount gambier,AU,66.11,broken clouds,-37.8333,140.7667,
416,millau,FR,57.4,overcast clouds,44.0833,2.9167,
423,ayacucho,PE,58.96,overcast clouds,-13.1583,-74.2239,
424,willowmore,ZA,52.66,few clouds,-33.2926,23.4895,
426,sydney,AU,68.32,broken clouds,-33.8679,151.2073,
428,meghri,AM,54.55,clear sky,38.9029,46.2446,
432,oga,IT,52.48,broken clouds,46.4631,10.347,
434,makarov,RU,64.45,overcast clouds,48.6333,142.8,
440,bilovec,CZ,60.91,fog,49.7564,18.0158,
445,hanyang,CN,61.12,light rain,32.1371,105.5126,
446,ankara,TR,56.21,clear sky,39.9199,32.8543,
448,brigantine,US,67.01,clear sky,39.4101,-74.3646,
450,petropavlovsk-kamchatskiy,RU,55.99,few clouds,53.0452,158.6483,
452,corner brook,CA,60.93,overcast clouds,48.9667,-57.9484,
454,kaeo,NZ,51.96,light rain,-35.1,173.7833,
455,shirokiy,RU,57.56,overcast clouds,49.758,129.523,
460,kamaishi,JP,68.95,broken clouds,39.2667,141.8833,
464,havre-saint-pierre,CA,57.56,mist,50.2334,-63.5986,
466,skjervoy,NO,51.8,overcast clouds,70.0311,20.9714,
469,barra velha,BR,68.11,few clouds,-26.6322,-48.6847,
472,hirtshals,DK,58.82,overcast clouds,57.5881,9.9592,
473,coquimbo,CL,55.13,clear sky,-29.9533,-71.3436,
474,grantham,GB,64.0,overcast clouds,52.9115,-0.6418,
475,roald,NO,59.11,overcast clouds,62.5833,6.1333,
477,flin flon,CA,51.46,overcast clouds,54.7682,-101.865,
479,watsa,CD,61.18,overcast clouds,3.0372,29.5355,
480,lichinga,MZ,60.89,clear sky,-13.3128,35.2406,
481,colwyn bay,GB,64.92,heavy intensity rain,53.2948,-3.7267,
482,pacifica,US,63.25,few clouds,37.6138,-122.4869,
483,chimbote,PE,62.94,broken clouds,-9.0853,-78.5783,
484,la ronge,CA,57.45,overcast clouds,55.1001,-105.2842,
486,zeya,RU,54.3,light rain,53.75,127.2667,
487,mackenzie,CA,55.62,broken clouds,55.2999,-123.1698,
488,chincha alta,PE,59.59,broken clouds,-13.4099,-76.1323,
489,marovoay,MG,66.34,clear sky,-16.1,46.6333,
491,vila praia de ancora,PT,65.26,overcast clouds,41.811,-8.8526,
492,sundumbili,ZA,57.51,few clouds,-29.1337,31.3975,
493,felanitx,ES,69.13,scattered clouds,39.4696,3.1483,
494,tyup,KG,64.71,clear sky,42.7276,78.3648,
499,rawah,IQ,68.16,clear sky,34.4816,41.9093,
500,arys,KZ,66.42,scattered clouds,42.4252,68.795,
